Date,ATW,BOA,CDM,CIH,CSR,GAZ,HPS,IAM,LBV,LHF,LSE,MNG,SID,TQM,WAA
2023-01-13,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,
2023-04-21,,,,,,,,,,,,,,,
2023-04-28,,,,,,,,,,,,,,,
2023-05-05,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,
2023-05-19,,,,,,,,,,,,,,,
2023-05-26,,,,,,,,,,,,,,,
2023-06-02,,,,,,,,,,,,,,,
2023-06-09,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,
2023-06-23,,,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,
2023-07-14,,,,,,,,,,,,,,,
2023-07-21,,,,,,,,,,,,,,,
2023-07-28,,,,,,,,,,,,,,,
2023-08-04,0.22979893735791213,0.1675015937822748,0.22132928582840705,0.1860236688153023,0.44246438682836886,0.10373503205703849,0.01173117699519799,0.3919642444023035,0.06204634519692398,0.5326054199696926,0.11142237484185791,-0.23250371481747867,0.37395536295552256,0.25071661824120395,0.1709059663040131
2023-08-11,0.15725766069060843,0.12740200640646826,0.22132928582840705,0.14851589602319204,0.2864294273873913,0.12797436115737204,-0.06094123484545999,0.27964004605742177,0.06433077989645564,0.36829176777889505,0.10162984256622432,-0.28605892748834694,0.26144393320129344,0.14871012002620643,0.058499127116155014
2023-08-18,0.18772642781387172,0.15150842126470931,0.38185474542154285,0.16250253101384216,0.35453451471966546,0.11630839477528454,-0.057790030935545356,0.24947068950787532,0.07407645932683304,0.3481698300174405,0.019211365142478565,-0.28210381488029457,0.23639661992174665,0.18249571179168322,0.11125817451786957
2023-08-25,0.22361325054179604,0.17244748238333174,0.2856097745562176,0.18566756074590085,0.34163418600804984,0.1037667494923693,-0.06330463777789586,0.300611398612568,0.05952028110564189,0.38374715007398263,-0.001988071570576566,-0.2987734743814312,0.16795605054443752,0.20851950362392024,0.14352050861677546
2023-09-01,0.18351020803905427,0.1535475507606987,0.3414849689920987,0.20298309242835622,0.2479517766702357,0.10402343943411152,-0.02312678792648526,0.26003229996857136,-0.00681740664081798,0.26267493996474145,0.03147468132382114,-0.3130908247616433,0.058282704783522155,0.18885321561851987,0.14932744869959458
2023-09-08,0.08443382559336476,0.09963238531682439,0.16895779666321542,0.1954744381974951,0.17124531396438658,0.05519021772986821,-0.03404930730557498,0.20679274774330447,-0.026866664340984836,0.2002416511182532,0.0658767395626243,-0.33180041319226006,-0.008756116286554483,0.09365536038764422,0.02448313051777684
2023-09-15,0.09237338149899577,0.10595211166921992,0.14414841980368864,0.20888680344484922,0.2006367495451804,0.07355661065487906,0.00041089855131115627,0.2695769190103654,-0.00579832071825348,0.22352837757923538,0.08583697813121272,-0.34979588678596263,0.101267427170036,0.14025220531644145,0.053221474588404316
2023-09-22,0.11126139599943641,0.1249112907264065,0.12803365332758032,0.23026328466450008,0.16686459928270514,0.06077617481374964,0.017211583566066224,0.27572582392753797,0.057729626516401344,0.17728104140437684,0.09459372795485099,-0.36114031907179067,-0.02505469678953598,0.06828362431027601,0.06696900769020897
2023-10-02,0.10831598525653763,0.16062984343815723,0.12803365332758032,0.22163648514961287,0.15650340240922445,0.11517495300932623,-0.007622431996594958,0.20356482717428315,0.02469151100952094,0.1980072846712968,0.07380857253257855,-0.352629433299788,-0.006856418721173152,0.1060430424632326,0.0744516026405797
2023-10-06,0.13602042183337892,0.1913847348473674,0.23465528856950368,0.2971395620363808,0.1736958667822044,0.20149332883396265,0.007480376965916191,0.23514350828331132,0.03530535312322258,0.2990130380824241,0.0662919125248509,-0.33772616966054614,0.1496236953739909,0.14230674877350258,0.11521148922723778
2023-10-13,0.13602042183337892,0.16179879661625773,0.2309598009102527,0.23429593059157794,0.12043255227943628,0.18314366049882125,-0.896897426690276,0.25555104513813065,0.030804408682820528,0.25600736148779735,0.0660786967854936,-0.32188354077791625,0.25660910337246623,0.11891896729322848,0.10034200270420812
2023-10-20,0.12571957893049723,0.1539168509132982,0.26455061810892055,0.2603182930631682,0.13219369437323447,0.1625938059161014,-0.8952375181705149,0.23582430318583336,-0.029920378777802625,0.29125817742827587,0.05444874736601557,-0.31493012101427775,0.31895748343749486,0.15895004224135523,0.08586381845809954
2023-10-27,0.10101092651202448,0.14200635518438154,0.2344422700587081,0.24499428060048634,0.17756943507059764,0.11517495300932645,-0.8960594072983757,0.18598783032126098,-0.041910426949015034,0.2255571955801403,0.07773031667739017,-0.3303197813881642,0.280235795850339,0.15083938555238952,0.08897121889247894
2023-11-03,0.112701358141299,0.1300149357661382,0.25435262925320345,0.21642781566366698,0.14477362431071517,0.1417267376047866,-0.8960594072983757,0.2680368669495923,-0.0615523544147526,0.2761572122068523,0.04648619236563478,-0.28519517307532327,0.25410482900275655,0.14247515607834926,0.08897121889247894
2023-11-10,0.08617013936886897,0.1219225563363846,0.21451455479452042,0.15570187347271292,0.12731418885656876,0.048303791805944574,-0.8926814079445,0.15190041072925586,-0.07592469002705649,0.172767310240022,0.00813053547804099,-0.3104235787314883,0.23455191769915307,0.0864378361105429,0.08372316482552722
2023-11-17,0.10073616204035618,0.10878435212447224,0.13698630136986267,0.10737252240021777,0.08829626986338956,0.07435158419380605,-0.8935553192137906,0.14633716419961162,-0.06381962749495818,0.186171767756369,0.05097608323585767,-0.29734218320606975,0.1942629397446971,0.08725144935096751,0.06027352641525918
2023-11-24,0.05619619025150957,0.10878435212447224,0.09637964774951069,0.018505876420620737,0.09210516257723245,0.11364234367065129,-0.8856203521006369,0.10030465416256384,-0.09559836202203154,0.1686913417052227,0.05116995449268025,-0.24038847344640513,0.17175542623621531,0.08499939465402839,0.03872621294239109
2023-12-01,0.013758796744278046,0.05839517560838248,0.05957446808510669,-0.026093926848837046,0.09605985306345088,0.061407589203519075,-0.8931938771737696,0.07460656101011054,-0.13175727706761076,0.09332930082145352,0.020732167171516158,-0.28008942431157546,0.11051509542996141,0.029087708483952257,-0.02813813574968349
2023-12-08,0.03770040084334436,0.03385163566397842,0.0733786761184021,-0.04536996085853273,0.09463027268744173,0.03551959922294534,-0.8923906341466457,0.13720365502800447,-0.12491030938255099,0.11875934564687785,0.027517661160310514,-0.23371871370105657,0.18362572980829506,0.08597195367653243,-0.0064726659520826235
2023-12-15,0.02193345953064907,0.039552070747840284,0.03556712328767153,-0.025682256179951013,0.0516446482388937,0.023337015702675545,-0.8942417751957108,0.08220485111476061,-0.13223723434949697,0.10414152922731756,0.027517661160310514,-0.2125581182298094,0.19409617500541154,0.11755489263037422,-0.021773297344013787
2023-12-22,0.012614767877926258,0.02780571966594425,0.00958904109589076,-0.03423165756318025,0.046251598760745694,0.04179547558187213,-0.8916308607421662,0.033678550477430624,-0.09760368716167211,0.09200996535770556,0.04066082191111442,-0.1350135121797229,0.17005432321329494,0.10148583872905426,-0.04557384872345416
2023-12-29,0.017859965228386843,0.011850472498798004,0.06693440428380182,-0.04064464316568517,0.004560862464949134,-0.05445431761221209,-0.8912395871131342,0.05519029068179404,-0.07284768211920467,0.05644415069398612,0.042733851436833836,-0.08014932199409175,0.1479671709438366,0.06432017640696919,-0.024390243902438158
2024-01-05,0.06640735788663377,0.009404826298617497,0.09066666666666734,-0.027130738342436622,0.010201581958115824,-0.07026050420167973,-0.8924529097202486,0.07633299239871993,-0.07152317880794645,0.10121254634733012,0.04899025454545458,0.04329909593450232,0.14584097769621707,0.05275163181184128,0.0123456790123464
2024-01-12,0.07875774303653515,0.019930244145491827,0.16527777777777786,-0.023651205936919828,-0.005637724971243263,-0.06804653679653616,-0.8904664538839059,0.06586259911970638,-0.04995866443464403,0.12900491608747333,0.044811010503440274,0.02708201154173806,0.1603147338539781,0.11866859322645751,0.04975000000000107
2024-01-19,0.07370627827430298,0.06823351307132586,0.1634349030470914,-0.05295215599007641,-0.020553159096674545,-0.10213172128539527,-0.890408448876884,0.04188062505765444,-0.056366861002622115,0.10292647058823623,0.06841600000000003,-0.047687711726408843,0.23865506497518307,0.10206818103289872,0.02500000000000102
2024-01-26,0.05201055736686944,0.09893892503000212,0.10215053763440896,-0.08305034691335988,-0.12138896420837197,-0.17134263471843025,-0.8921161521461246,-0.04922206366291604,-0.05963071051745383,0.09489301838644293,0.0679888044782091,-0.012393421236546298,0.26497209893357954,0.0497209007539936,0.02111801242236111
2024-02-02,0.047118400330020016,0.05516309355611648,0.13013698630137016,-0.0727510342842751,-0.11204203829569503,-0.11182450508293151,-0.8934426694695026,-0.14823150130894025,-0.10017870282770902,0.08945803040317313,0.07424372363636356,0.013244608010955172,0.23444253546067717,0.06794414262746185,-0.0004823926676305046
2024-02-09,0.11107178392068584,0.05855701996223295,0.19863013698630172,-0.011779728651236332,-0.10546247009073562,-0.11501035196687304,-0.8950123628267656,-0.18150147635646197,-0.0797858195145692,0.09733425142632379,0.03712738179636821,0.006688860175014133,0.2470131600193779,0.05150686727022524,0.050000000000001155
2024-02-16,0.10131043479954083,0.10861983059292579,0.18493150684931536,-0.0005203104758535471,-0.08656715863008546,-0.09571641156462563,-0.8973145162395296,-0.06016187401856732,-0.10052661751079106,0.09733425142632379,0.05633801752026546,0.01780560800940645,0.2522061903863957,0.06258207998665477,0.05500000000000105
2024-02-23,0.12041343669250648,0.11478225321990121,0.13698630136986334,0.08661877551020436,-0.05749974850944839,-0.0680465367965365,-0.8967099759650777,-0.03082522116525299,-0.07994488149059609,0.10632145816073013,0.06258827636363651,0.04407876345338524,0.34868935170034265,0.09714823379614512,0.07000000000000117
2024-03-01,0.08933873144399529,0.12740999721314483,0.11700680272108865,0.0020450732004952954,-0.04841402676660134,-0.06355519480519456,-0.9026088914506205,-0.021211459138798516,-0.02806370024408822,0.1366937716262986,0.010177460340456523,0.05242082841277873,0.32287587335095824,0.07241252816146848,0.042168674698795705
2024-03-08,0.10150801692793743,0.12792510695325054,0.14671328671328676,0.007826102468960316,-0.039481461061839696,-0.0680465367965365,-0.9026932796746019,-0.02665974590035025,-0.005130958773342353,0.18716577540107004,-0.025074947225059208,0.012933586889950277,0.3844664066182859,0.1422044545973733,0.07404599444023385
2024-03-15,0.14378812262820162,0.13459320948110332,0.22394366197183158,-0.026757701401500578,-0.04041947466034723,-0.023667800453514243,-0.9071038656913611,-0.018163836071288242,0.01998580889309376,0.1322679360761656,-0.04299636363636328,0.006648424841754208,0.2173310542153064,0.15035148353345917,0.05703048180924353
2024-03-22,0.10679824561403595,0.10986547085201881,0.2557142857142862,-0.046753246753246325,-0.015530354784350386,-0.011904761904761418,-0.9085113828778557,-0.009859939597118061,0.024282560706402112,0.16013655462184895,-0.04192509090909047,0.04103573591762655,0.29072178265784077,0.19439945323983499,0.04368932038835016
2024-03-29,0.11381578947368509,0.06267029972752147,0.28571428571428603,-0.042746113989637124,0.028205128205128993,0.02380952380952439,-0.9080241040279099,-0.0009900990099003248,-0.0002173913043476139,0.14705882352941235,-0.021818181818181515,0.05996365838885587,0.345454545454547,0.158148505303761,0.0349397590361451
2024-04-05,0.06991525423728828,0.042328042328042326,0.24999999999999956,-0.0422885572139301,-0.015984015984014555,-0.034883720930232065,-0.9093749999999999,-0.035214664737095336,-0.03191489361702138,0.05717367853290223,-0.02327272727272678,0.020000000000000684,0.27246699538730845,0.16713352007469706,-0.011764705882352344
2024-04-15,0.06717188179052602,0.08141112618724633,0.25170068027210846,-0.02567441239316226,-0.026325759001261217,-0.056818181818181435,-0.08661417322834597,-0.03719190140845041,-0.031742244587117274,0.05347593582887811,-0.04252209688122033,0.10283703302653024,0.2302036199095039,0.21795549647264978,-0.01999999999999935
2024-04-19,0.06329093233954697,0.07774402929183744,0.20657894736842075,-0.06759746189696414,-0.039393559565392144,-0.04651162790697616,-0.079314159292035,-0.025763767741880494,-0.03187979515612527,0.043429771127404315,-0.019708029197079924,0.38324103097483886,0.23616390876565396,0.23086358995453238,-0.01999999999999935
2024-04-26,0.079366605182694,0.10863014664410686,0.21052631578947323,-0.06228227134532527,-0.043441902582972536,-0.02380952380952317,-0.08751229105211367,0.008587203329596838,-0.03970378866726976,0.0554400134612163,-0.037166008169824516,0.3979908739251994,0.1716331570350791,0.24436898916723693,0.003614457831325968
2024-05-03,0.09479601838041218,0.11881380824730581,0.18789473684210467,-0.04554756754464062,-0.04181933340487354,-0.04651162790697616,-0.08914173338952047,0.013473013418456636,-0.04726809369695495,0.046786577751800396,-0.001191403081914122,0.43223704157524345,0.1653091578269259,0.3455972325029828,0.02751004016064318
2024-05-10,0.10843562928093853,0.10694444444444495,0.18483412322274861,-0.007893668831168599,-0.06096100208346067,0.01219512195122019,-0.07295523753699185,0.0155130586833101,0.043023130235040785,0.06776089543661112,0.02629028635598063,0.4864940753245912,0.16309756789126073,0.3952898167590668,0.032245762711864856
2024-05-17,0.07753817870328872,0.11938202247191043,0.19733333333333358,0.040354700347881245,-0.07279955892129275,-0.002650602409638547,-0.07360241744010321,-0.009894993570900068,-0.015011769075274572,0.05620765695156704,-0.016272215242965404,0.46397988380873834,0.22832417116070203,0.37375920153598563,0.01208615956072423
2024-05-24,0.07599933758588007,0.1023355957337595,0.19600000000000017,0.03835616438356171,-0.06529208902438044,-0.023069679849340052,-0.06525649327289706,-0.023524596204063775,-0.04837463481925852,0.06244364194894336,-0.0056057101777829965,0.5227035463901899,0.2338325391422742,0.3491785795048252,0.035243182002104634
2024-05-31,0.11275701574987029,0.1508571491446844,0.23273972602739668,0.07862723214285716,-0.05782944074545071,4.440892098500626e-16,-0.08194834160730968,-0.007863704629377577,-0.017828635443086327,0.03873864276908523,0.02404669314645047,0.5269759401210128,0.31752039792312114,0.3805617358208171,0.04125000000000001
2024-06-07,0.09394026810433131,0.14154570012170842,0.18666666666666654,0.09282910628019336,-0.055057403363872215,0.0123456790123464,-0.061104087652759764,-0.05212524518467587,-0.037929966177030594,0.019570126730254156,0.01746908139374792,0.5063012175274981,0.1823187135058555,0.308246597277823,0.004972573839663097
2024-06-14,0.07859770493603513,0.10284923571080218,0.14624505928853715,0.044300937209842406,-0.052327785677506955,-0.0169047619047612,-0.09293486145364838,-0.12426919258943403,-0.05517195885626369,-0.025951669061209492,0.02468255061286362,0.5072730247646133,0.16181918057967093,0.2510554892001029,-0.020729166666666465
2024-06-21,0.07840753356092689,0.05010956700230218,0.19402985074626833,0.05558523476499988,-0.06898800040706476,-0.004819277108433884,-0.1280916723394595,-0.12457324696442906,-0.048601212287158524,-0.023902367209142072,0.014783725331170894,0.45986698348489563,0.17835676744794027,0.2956393283640999,0.00406250000000008
2024-06-28,0.10899459122637589,0.09256041174723917,0.19196988707653717,0.08931280519603679,-0.015212948338809151,-0.0249999999999998,-0.14179210653615226,-0.0991887722092264,-0.005324915918224815,-0.015911576644791037,0.0892133008921332,0.44285646515881316,0.22768946170109072,0.22061285391949914,-0.03312499999999985
2024-07-05,0.10561201697325973,0.08338783678250694,0.16136919315403464,0.09064748201438877,-0.010535470376517364,0.025256314078520248,-0.17544961461604314,-0.1256937730968356,-0.022807904846499194,-0.05627960574956936,0.034752635847526525,0.30576566352411705,0.28968890635905,0.1827526537358921,-0.008575203252032648
2024-07-12,0.0714454613957316,0.09387414478040168,0.02383790226460092,0.09728860294117703,-0.030038780451085212,-1.1102230246251565e-16,-0.16882671995432452,-0.10222344148489981,-0.028492623390980354,-0.04334174659262913,0.0024393079210600632,0.33654072562079507,0.2628030395524026,0.10930078481011019,-0.04588394062078294
2024-07-19,0.07349616941973558,0.0035401147076274952,0.04761904761904723,0.14159462413673207,-0.04511589785339987,-0.0196078431372545,-0.1718390205671193,-0.12445961231728742,-0.027149603680482914,-0.04332899097917575,-0.019708029197079813,0.4050583053061334,0.2262323452948667,0.08983827061649374,-0.030101626016260208
2024-07-26,0.10409638584312741,0.008834564503356512,0.06695121951219485,0.1855605605605608,-0.009561702560707097,2.220446049250313e-16,-0.12523412102211307,-0.14244914991443625,-0.02464387188063999,-0.030290244888630413,-0.001884538818844983,0.43180479861717114,0.18723001992363075,0.11020412421142156,-0.03487429034874223
2024-08-02,0.13058964024248843,0.027142894716077226,0.09090909090909105,0.20612677025471737,-0.020245266910370763,0.0,-0.1449570378623921,-0.02603431677110002,0.022774925194255058,-0.018108903267912924,-0.007299270072992359,0.5097035295226537,0.20704364035417444,0.16419830425009518,-0.018862612612611795
2024-08-09,0.061193752724397976,0.0269816477938305,0.06285714285714294,0.11862312085700832,-0.02522807810703165,-0.05097087378640697,-0.1285921474289381,0.006555472110864713,-0.015107142752222136,-0.041669492014937304,0.024350036906422234,0.5172416188925353,0.18174446242286657,0.12076305451707059,-0.031472222222222235
