,0
LSE,0.11914933375323994
GAZ,0.10505623634687594
CIH,0.09951834117225843
LHF,0.08913724263945697
BOA,0.08759425247518172
IAM,0.08060772857895075
CSR,0.08020935110213481
LBV,0.079703716986513
ATW,0.07556207969317487
CDM,0.06356074686854124
WAA,0.06246983726566968
MNG,0.057431133118002624
TQM,1.9081958235744878e-17
HPS,1.338989683019598e-17
SID,0.0
