Date,WG_RETURN,WG_REPL,residual
2023-01-13,0.0498156997943388,0.003564798137864039,0.04625090165647476
2023-01-20,-0.0103724033502106,-0.005059689150491172,-0.005312714199719429
2023-01-27,-0.0043990092666086,0.0019042134318749651,-0.006303222698483565
2023-02-03,0.0306601734720342,0.003999184712140449,0.02666098875989375
2023-02-10,0.0311367088843534,0.005651878608723223,0.025484830275630175
2023-03-17,-0.0046718837541341,-0.007780808439153114,0.0031089246850190145
2023-03-24,0.003813155386082,0.009569904481189748,-0.005756749095107748
2023-03-31,-0.0137837471170804,0.009835274307610182,-0.023619021424690582
2023-04-07,0.0139397107510018,0.007100986195009524,0.006838724555992276
2023-04-14,-0.0042510469333669,0.004806925398280257,-0.009057972331647157
2023-04-21,0.0107910728397415,0.005457397649462745,0.005333675190278756
2023-04-28,-0.0030104512082242,-0.0014166340081603205,-0.0015938172000638795
2023-05-05,-0.0072018315546583,0.01439909885892095,-0.02160093041357925
2023-05-12,0.0201824867220482,-0.0011238577595682493,0.021306344481616446
2023-05-19,0.0088370354549335,0.002769420372038798,0.0060676150828947025
2023-05-26,0.0161519393795046,0.011837335875991624,0.0043146035035129746
2023-06-02,0.0094364191957774,0.0036392587056085423,0.005797160490168857
2023-06-09,-0.0033884020330411,0.008977708501872402,-0.012366110534913502
2023-06-16,0.0255511929930535,0.00606169092604677,0.019489502067006732
2023-06-23,-0.0006478972788314,0.005745996045772699,-0.006393893324604098
2023-07-03,0.0136736016974126,0.0035009606411961986,0.010172641056216403
2023-07-07,0.0067694965654147,0.006725241656853118,4.425490856158239e-05
2023-07-14,0.0057174443931093,0.014598042980300496,-0.008880598587191195
2023-07-21,0.0129695408569248,0.006476674834853878,0.006492866022070922
2023-07-28,0.0102120147065969,0.0023064283268197654,0.007905586379777134
2023-08-04,0.0039681585339456,0.009232230295314534,-0.005264071761368934
2023-08-11,-0.0124882224245038,0.0029744769550367695,-0.015462699379540569
2023-08-18,0.0015039539434319,0.00432269102253687,-0.00281873707910497
2023-08-25,-0.0042951719683512,-0.0016935981588480772,-0.0026015738095031228
2023-09-01,-0.0025865983393876,0.008175065563078076,-0.010761663902465676
2023-09-08,-0.0219658724158395,-0.003803029154841853,-0.018162843260997645
2023-09-15,0.0079297131505232,0.004848601005613962,0.003081112144909238
2023-09-22,0.0008741475000207,0.010954716354342992,-0.010080568854322292
2023-10-02,0.0011040892499608,0.0016663187997941345,-0.0005622295498333345
2023-10-06,0.0392095538308327,0.03397676940339081,0.005232784427441892
2023-10-13,0.0037460895735159,-0.0028004896638897407,0.006546579237405641
2023-10-20,-0.0067619814104689,0.002508891049482461,-0.009270872459951361
2023-10-27,-0.0127580810447962,0.006665664463291978,-0.01942374550808818
2023-11-03,0.0013196539931603,0.004492331048582576,-0.0031726770554222758
2023-11-10,0.001510780382356,0.0032424100532406283,-0.0017316296708846284
2023-11-17,0.0020621534659424,0.005256347174769824,-0.0031941937088274244
2023-11-24,0.0020338874475513,0.009049500283226583,-0.007015612835675283
2023-12-01,-0.0105163899055443,-0.0007842443762392575,-0.009732145529305042
2023-12-08,0.0074623249503318,0.01023727118680737,-0.0027749462364755713
2023-12-15,0.0136998380709601,0.012674099862164258,0.0010257382087958417
2023-12-22,0.0006721758728403,0.006533836123902451,-0.005861660251062151
2023-12-29,-0.0181286549707603,0.011514608109100764,-0.029643263079861065
2024-01-05,0.0172319430806624,0.003466393827326813,0.013765549253335587
2024-01-12,0.0152151724465333,0.004180840271831023,0.011034332174702278
2024-01-19,0.0126724339490295,0.007583661812847661,0.0050887721361818385
2024-01-26,-0.0072343307474448,-0.002848248946461885,-0.004386081800982915
2024-02-02,0.000457378523365,0.0051931068535287245,-0.004735728330163724
2024-02-09,0.0181318042694976,0.01388359721409671,0.004248207055400889
2024-02-16,0.0124281745880741,0.003585038702938762,0.008843135885135339
2024-02-23,0.0170941455934088,0.010800834468191448,0.0062933111252173515
2024-03-01,-0.0057500997767956,0.003801900317467387,-0.009552000094262988
2024-03-08,-0.0124959115102137,0.005730255027982968,-0.018226166538196666
2024-03-15,0.0120066544718202,0.0023570011269477818,0.009649653344872418
2024-03-22,-0.0097814605989378,0.0016070213284625442,-0.011388481927400343
2024-03-29,0.0010817063918331,-0.000756188097250571,0.001837894489083671
2024-04-05,-0.0069634643235009,0.005834114365866785,-0.012797578689367685
2024-04-15,0.0197296337436432,0.01187718762297712,0.007852446120666079
2024-04-19,0.006624675805854,0.012243705719747804,-0.005619029913893804
2024-04-26,-0.0140308000353347,0.007438225074994356,-0.021469025110329054
2024-05-03,0.0029416595738324,0.010340436958222388,-0.007398777384389988
2024-05-10,0.0079578953637257,-0.002653730144525488,0.010611625508251187
2024-05-17,-0.0045937622321844,0.003560725673758849,-0.00815448790594325
2024-05-24,-0.0062769422536151,0.0060326097204840955,-0.012309551974099196
2024-05-31,0.0045321168046709,0.0067204048964932435,-0.002188288091822343
2024-06-07,-0.0066522967147316,0.004979281121959657,-0.011631577836691257
2024-06-14,0.0078641176250514,0.005686914877233502,0.0021772027478178975
2024-06-21,-0.0004751440280336,0.007027109163529095,-0.007502253191562695
2024-06-28,0.0101313209341018,0.0003264058096075313,0.00980491512449427
2024-07-05,0.0121253566281361,0.015972236575615695,-0.003846879947479594
2024-07-12,0.0326419412256166,0.0016572655855180236,0.030984675640098578
2024-07-19,0.0186579239893624,0.008017094768339705,0.010640829221022696
2024-07-26,0.0060294219214034,0.006737498339866773,-0.0007080764184633735
2024-08-02,0.0235680989681661,0.007133506292909672,0.016434592675256425
