,ridge_coef
MNG,0.0028770655117542274
BOA,0.0026102144974316827
LBV,0.0013409373571609674
LHF,0.0013185003083722479
IAM,0.0013081897211762018
CIH,0.0004726332619538507
GAZ,0.000409509759791685
WAA,7.128041885387461e-05
CSR,6.390307382107171e-05
TQM,-0.0003299029930036362
LSE,-0.0006921111365202437
CDM,-0.001178158159367438
ATW,-0.001391957976000203
HPS,-0.0035028491466198687
SID,-0.005227638257204207
